fold,accuracy,auc,f1,sensitivity,specificity,C,penalty,solver
1,0.6216931216931217,0.6910326086956521,0.6255267304392449,0.525,0.7898550724637681,10,l2,lbfgs
2,0.6730158730158731,0.7763478260869565,0.6790790390991853,0.64,0.7304347826086957,10,l2,saga
3,0.6190476190476191,0.6814782608695652,0.6234987890199339,0.53,0.7739130434782608,10,l2,lbfgs
4,0.5955414012738853,0.6814070351758794,0.6021406694951339,0.542713567839196,0.6869565217391305,10,l2,saga
5,0.7428571428571429,0.8115217391304348,0.7404504024667983,0.82,0.6086956521739131,10,l2,saga
6,0.6317460317460317,0.7061739130434781,0.6381852977597657,0.58,0.7217391304347827,10,l2,lbfgs
7,0.6984126984126984,0.780086956521739,0.6962727680216471,0.78,0.5565217391304348,10,l2,saga
8,0.6412698412698413,0.6825652173913043,0.6478432852283721,0.625,0.6695652173913044,10,l2,saga
9,0.6317460317460317,0.7017391304347826,0.6314268565336856,0.495,0.8695652173913043,10,l2,saga
10,0.4523741825419392,0.6226560172773309,0.5821368804152431,0.7375,0.4387846291331546,10,l1,saga
